"id","partner_id/id","icao","iata","elevation","aerodrome_type"
"aerodrome_05TN","partner_05TN","05TN","","285","closed"
"aerodrome_05TS","partner_05TS","05TS","","750","small_airport"
"aerodrome_05TX","partner_05TX","05TX","","608","small_airport"
"aerodrome_05UT","partner_05UT","05UT","","4838","small_airport"
"aerodrome_05V","partner_05V","05V","","7720","small_airport"
"aerodrome_05VA","partner_05VA","05VA","","445","small_airport"
"aerodrome_05VT","partner_05VT","05VT","","68","heliport"
"aerodrome_05WA","partner_05WA","05WA","","2220","heliport"
"aerodrome_05WI","partner_05WI","05WI","","958","small_airport"
"aerodrome_05WN","partner_05WN","05WN","","1570","small_airport"
"aerodrome_05XS","partner_05XS","05XS","","105","small_airport"
"aerodrome_05Y","partner_05Y","05Y","","1455","small_airport"
"aerodrome_06AK","partner_06AK","06AK","","425","small_airport"
"aerodrome_06AL","partner_06AL","06AL","","415","heliport"
"aerodrome_06AR","partner_06AR","06AR","","499","small_airport"
"aerodrome_06AZ","partner_06AZ","06AZ","","1280","heliport"
"aerodrome_06B","partner_06B","06B","","115","seaplane_base"
"aerodrome_06CA","partner_06CA","06CA","","1942","heliport"
"aerodrome_06CL","partner_06CL","06CL","","520","heliport"
"aerodrome_06CO","partner_06CO","06CO","","5100","small_airport"
"aerodrome_06FA","partner_06FA","06FA","","28","small_airport"
"aerodrome_06FD","partner_06FD","06FD","","105","small_airport"
"aerodrome_06FL","partner_06FL","06FL","","3","heliport"
"aerodrome_06GA","partner_06GA","06GA","","1065","heliport"
"aerodrome_06I","partner_06I","06I","","536","seaplane_base"
"aerodrome_06IA","partner_06IA","06IA","","880","small_airport"
"aerodrome_06ID","partner_06ID","06ID","","2750","small_airport"
"aerodrome_06IL","partner_06IL","06IL","","708","small_airport"
"aerodrome_06IN","partner_06IN","06IN","","575","closed"
"aerodrome_06IS","partner_06IS","06IS","","695","small_airport"
"aerodrome_06KS","partner_06KS","06KS","","1332","heliport"
"aerodrome_06KY","partner_06KY","06KY","","751","closed"
"aerodrome_06LA","partner_06LA","06LA","","","heliport"
"aerodrome_06LL","partner_06LL","06LL","","812","closed"
"aerodrome_06LS","partner_06LS","06LS","","85","heliport"
"aerodrome_06MA","partner_06MA","06MA","","210","heliport"
"aerodrome_06MD","partner_06MD","06MD","","132","heliport"
"aerodrome_06ME","partner_06ME","06ME","","649","heliport"
"aerodrome_06MI","partner_06MI","06MI","","978","heliport"
"aerodrome_06MN","partner_06MN","06MN","","1463","small_airport"
"aerodrome_06MO","partner_06MO","06MO","","755","small_airport"
"aerodrome_06MT","partner_06MT","06MT","","3541","small_airport"
"aerodrome_06N","partner_06N","06N","","523","small_airport"
"aerodrome_06NC","partner_06NC","06NC","","163","small_airport"
"aerodrome_06ND","partner_06ND","06ND","","2180","small_airport"
"aerodrome_06NE","partner_06NE","06NE","","1015","heliport"
"aerodrome_06NH","partner_06NH","06NH","","160","small_airport"
"aerodrome_06NJ","partner_06NJ","06NJ","","25","closed"
"aerodrome_06NV","partner_06NV","06NV","","5556","small_airport"
"aerodrome_06NY","partner_06NY","06NY","","1100","small_airport"
"aerodrome_06O1","partner_06O1","06O1","","1020","heliport"
"aerodrome_06OH","partner_06OH","06OH","","1160","small_airport"
"aerodrome_06OI","partner_06OI","06OI","","915","small_airport"
"aerodrome_06OK","partner_06OK","06OK","","900","heliport"
"aerodrome_06OR","partner_06OR","06OR","","850","small_airport"
"aerodrome_06PA","partner_06PA","06PA","","1440","small_airport"
"aerodrome_06PN","partner_06PN","06PN","","727","heliport"
"aerodrome_06PS","partner_06PS","06PS","","760","heliport"
"aerodrome_06R","partner_06R","06R","","289","small_airport"
"aerodrome_06SN","partner_06SN","06SN","","1340","small_airport"
"aerodrome_06TA","partner_06TA","06TA","","480","small_airport"
"aerodrome_06TE","partner_06TE","06TE","","129","small_airport"
"aerodrome_06TN","partner_06TN","06TN","","640","small_airport"
"aerodrome_06TS","partner_06TS","06TS","","350","closed"
"aerodrome_06TX","partner_06TX","06TX","","215","small_airport"
"aerodrome_06VA","partner_06VA","06VA","","1160","small_airport"
"aerodrome_06WA","partner_06WA","06WA","","2013","heliport"
"aerodrome_06WI","partner_06WI","06WI","","1075","small_airport"
"aerodrome_06WN","partner_06WN","06WN","","394","small_airport"
"aerodrome_06XS","partner_06XS","06XS","","546","small_airport"
"aerodrome_06Y","partner_06Y","06Y","","1068","small_airport"
"aerodrome_07AA","partner_07AA","07AA","","357","small_airport"
"aerodrome_07AL","partner_07AL","07AL","","132","heliport"
"aerodrome_07AR","partner_07AR","07AR","","300","small_airport"
"aerodrome_07AZ","partner_07AZ","07AZ","","1255","closed"
"aerodrome_07B","partner_07B","07B","","360","small_airport"
"aerodrome_07CA","partner_07CA","07CA","","850","heliport"
"aerodrome_07CL","partner_07CL","07CL","","100","small_airport"
"aerodrome_07CO","partner_07CO","07CO","","6620","small_airport"
